index,key_0,geometry,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QEDLESHI,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QHISPC,QMOHO,QNATIVE,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,F1: 1,F1: 2,F1: 3,F1: 4,F1: 5,FA_SVI_Unscaled,FA_SVI_Scaled,FA_SVI_Rank,FA_SVI_Percentile,RM_SVI_Rank,RM_SVI_Percentile
482013115001,482013115001,"POLYGON ((-95.28429899999999 29.716739999999998, -95.280861 29.715650999999998, -95.27818599999999 29.713326, -95.270564 29.710706, -95.26717699999999 29.709909, -95.267753 29.709357999999998, -95.27207399999999 29.706927, -95.277881 29.702679999999997, -95.28077499999999 29.700623999999998, -95.28025699999999 29.701393999999997, -95.280793 29.706464, -95.278027 29.706618, -95.278082 29.709137, -95.282467 29.713865, -95.28429899999999 29.716739999999998))",711.0,-48700.0,34.5,-11556.0,2.75,0.8650707290533188,0.06637649619151251,0.062023939064200215,0.0,0.7803660565723793,0.43483412322274884,0.2878338278931751,0.65,0.5636561479869423,0.5459940652818991,0.23353293413173654,0.7225244831338411,0.0,0.0,0.38922155688622756,0.3105071976321808,0.381936887921654,0.655688622754491,-0.0,0.2314540059347181,0.39221556886227543,0.3359840954274354,0.8510554518473353,0.06333903955440907,0.1944528824536218,0.20638283513236097,0.20097568356477924,1.5162058925525064,1.0,1.0,1.0,1.0,1.0
482012205003,482012205003,"POLYGON ((-95.39240799999999 29.845533, -95.39083699999999 29.845544, -95.38956499999999 29.845504, -95.387346 29.845509999999997, -95.385036 29.845536, -95.384478 29.845520999999998, -95.38434099999999 29.845513, -95.384275 29.838594999999998, -95.38130000000001 29.838641, -95.381265 29.837386, -95.37568399999999 29.837574, -95.375833 29.834757, -95.384408 29.834598, -95.384514 29.833202, -95.390402 29.841666, -95.392955 29.845523999999997, -95.39240799999999 29.845533))",423.0,-166000.0,62.7,-12377.0,1.68,0.920447849145551,0.026517383618149676,0.2928697701826753,0.0,0.46258992805755395,0.17206835592221567,0.17525773195876287,0.7872340425531915,0.48084855627578077,0.30927835051546393,0.07792207792207792,0.5645256334708308,0.0,0.011785503830288745,0.45054945054945056,0.2418191902384914,0.44254566882734236,0.8841158841158842,-0.0,0.35051546391752575,0.6613386613386614,0.04847908745247148,0.46245531036760784,0.15777668194605396,-0.009509623581867944,0.48932926299739665,0.37326377196435145,1.4733154036935419,0.9853785740439566,2.0,0.9995329285380663,195.0,0.9093881363848669
482013109003,482013109003,"POLYGON ((-95.302844 29.734479, -95.301797 29.737000000000002, -95.30062799999999 29.739783, -95.298942 29.739251, -95.296369 29.738421, -95.29799799999999 29.734361999999997, -95.298769 29.732418, -95.299486 29.732650999999997, -95.305604 29.734555999999998, -95.302844 29.734479))",608.0,-101500.0,31.3,-9367.0,2.7,0.7081649151172191,0.0,0.01778496362166532,0.06467661691542288,0.7212389380530974,0.34598012646793136,0.35106382978723405,0.841726618705036,0.4801940177849636,0.15691489361702127,0.14410480349344978,0.9482619240097009,0.0,0.0,0.3384279475982533,0.3705373919579106,0.635408245755861,0.888646288209607,-0.0,0.14095744680851063,0.42139737991266374,0.1534195933456562,0.942955632975619,0.034935724024214555,-0.012141057428637927,0.17481247430770983,0.2381359355226221,1.3786987094015275,0.9531236143407604,3.0,0.9990658570761326,180.0,0.916394208313872
482014103001,482014103001,"POLYGON ((-95.408835 29.760614, -95.407793 29.760423, -95.40358599999999 29.760921999999997, -95.40048999999999 29.76201, -95.398423 29.761858, -95.398212 29.761349, -95.400373 29.761115999999998, -95.40238699999999 29.759176, -95.40234099999999 29.757233, -95.40841999999999 29.757137, -95.408687 29.759653, -95.408835 29.760614))",2231.5121412803533,-564748.2014388489,84.2,-25863.0,1.95,1.584,0.0,0.08,0.0,0.40707964601769914,0.0,0.0,,0.848,1.0,0.5454545454545454,0.096,0.0,0.0,0.5454545454545454,0.039040114613180514,0.0,0.0,-0.5454545454545454,0.0,0.0,0.0,0.14361685900395846,-0.12508459342821152,0.8672880500055449,0.28082044064642714,0.20455932439773405,1.371200080625453,0.9505673215975893,4.0,0.998598785614199,1572.0,0.2662307333021952
482013314001,482013314001,"POLYGON ((-95.36869 29.658241, -95.364429 29.65831, -95.355519 29.658437, -95.355474 29.652637, -95.35606 29.6505, -95.35629399999999 29.649103999999998, -95.356286 29.648215, -95.359174 29.648082, -95.360086 29.647282999999998, -95.365816 29.646444, -95.367207 29.645235, -95.368363 29.644319, -95.36869 29.658241))",522.0,-62530.12048192771,39.8,-11021.0,2.06,0.9958694754233788,0.0214787277984304,0.9083023543990086,0.42832167832167833,0.2934640522875817,0.0,0.0,0.9283387622149837,0.6199917389508468,0.6483180428134556,0.39574468085106385,0.0,0.0,0.0,0.4553191489361702,0.1718298223874432,0.6253614209004543,0.9685106382978723,-0.0,0.21406727828746178,0.5761702127659575,0.04626623376623377,-0.2442768448412156,0.7459268370515295,0.26139299769417484,0.3007679163694312,0.29740124984179206,1.361212156115712,0.9471624245549388,5.0,0.9981317141522653,80.0,0.9631013545072397
482013206021,482013206021,"POLYGON ((-95.267855 29.675665, -95.26668199999999 29.676531999999998, -95.26436799999999 29.674201, -95.261567 29.676296999999998, -95.257699 29.672418, -95.259157 29.671378999999998, -95.25933599999999 29.670142, -95.25963999999999 29.669179999999997, -95.260953 29.667046, -95.26099699999999 29.666870999999997, -95.262485 29.669134, -95.263052 29.669995999999998, -95.265135 29.672653999999998, -95.267996 29.675558, -95.267855 29.675665))",765.0,-93100.0,47.4,-12938.0,2.25,0.7865583456425406,0.0,0.08050221565731167,0.13580246913580246,0.6370967741935484,0.2540192926045016,0.19047619047619047,0.7570093457943925,0.55096011816839,0.4095238095238095,0.12956810631229235,0.8168389955686853,0.017080745341614908,0.0,0.41029900332225916,0.3842812823164426,0.40029542097488924,0.8122923588039868,-0.0,0.14285714285714285,0.4219269102990033,0.06521739130434782,0.6906015441409714,0.04693436690835825,0.13634850980743693,0.21555621615316933,0.2557353755978391,1.3451760126077752,0.9416956814340388,6.0,0.9976646426903316,15.0,0.9934609995329285
482014328022,482014328022,"POLYGON ((-95.51572 29.713047999999997, -95.513617 29.713065, -95.509866 29.712971999999997, -95.506463 29.710483999999997, -95.51025399999999 29.707126, -95.51257299999999 29.709629999999997, -95.515684 29.709747, -95.51572 29.713047999999997))",765.0,-95210.28037383177,38.6,-13036.0,2.12,0.8858895705521472,0.11083844580777096,0.10224948875255624,0.03128491620111732,0.4486545853926414,0.3691821057388161,0.2606689734717416,0.48523206751054854,0.5460122699386503,0.3160322952710496,0.09341637010676157,0.6331288343558282,0.01823949246629659,0.00899795501022495,0.3816725978647687,0.4412776412776413,0.45622119815668205,0.9635231316725978,-0.0,0.37831603229527105,0.3193950177935943,0.10864393338620143,0.7093072946143348,-0.037550122535149846,0.13817317786864583,0.1601823504156077,0.3168037187635845,1.286916419127023,0.9218349068201359,7.0,0.9971975712283979,3.0,0.9990658570761326
482015339021,482015339021,"POLYGON ((-95.51517799999999 29.936915, -95.497841 29.937151999999998, -95.49784 29.936919, -95.497829 29.935026999999998, -95.497638 29.933576, -95.497941 29.93355, -95.49792599999999 29.930495999999998, -95.49790899999999 29.929551, -95.497849 29.925427, -95.497847 29.922931, -95.498787 29.923657, -95.499529 29.924232, -95.50066 29.924978, -95.501481 29.925587999999998, -95.504718 29.928033, -95.507441 29.93019, -95.50950399999999 29.93197, -95.51108699999999 29.933635, -95.514782 29.936500000000002, -95.515315 29.936902999999997, -95.51517799999999 29.936915))",803.0,-115100.0,34.0,-11972.0,2.42,0.8304542546385156,0.014075495841330775,0.2124120281509917,0.07205623901581722,0.44151738672286617,0.4045746962115797,0.2689393939393939,0.4491525423728814,0.5540626999360204,0.45075757575757575,0.12093023255813953,0.6884197056941779,0.0,0.0,0.3147286821705426,0.33438353287124556,0.39923224568138194,0.9426356589147287,-0.0,0.4337121212121212,0.4248062015503876,0.0811965811965812,0.664265424038836,0.05603365829381259,0.1485600482405919,0.15778224090890378,0.2446859014636433,1.2713272729457876,0.9165205456955429,8.0,0.9967304997664642,16.0,0.9929939280709948
482012217003,482012217003,"POLYGON ((-95.386462 29.892985, -95.385193 29.891841, -95.37872399999999 29.893196, -95.376914 29.892217, -95.37521 29.892694, -95.371107 29.892443999999998, -95.37053499999999 29.892547, -95.36888499999999 29.885972, -95.36653 29.876476999999998, -95.366384 29.873534, -95.36765199999999 29.878529, -95.368853 29.883360999999997, -95.37598299999999 29.883246999999997, -95.37915699999999 29.883226999999998, -95.379181 29.885771, -95.38080599999999 29.885851, -95.38077799999999 29.889484, -95.385846 29.88947, -95.386462 29.892985))",919.1489361702128,-104200.0,36.6,-10842.0,3.8,0.7266811279826464,0.0,0.0,0.033277870216306155,0.7933378653976887,0.48915449313855686,0.20912220309810672,0.5751789976133651,0.627765726681128,0.4690189328743546,0.4174917491749175,0.9839479392624729,0.19471947194719472,0.0,0.0,0.4344660194174757,0.3401301518438178,0.18646864686468648,-0.0,0.28141135972461273,0.22112211221122113,0.0,0.9733146780924506,0.03688136644254703,0.31011791976580894,0.0198451290292873,-0.07899592252947499,1.2611631708006192,0.9130555894574846,9.0,0.9962634283045306,83.0,0.9617001401214386
482012230022,482012230022,"POLYGON ((-95.332416 29.903516, -95.331694 29.90554, -95.33110699999999 29.905428999999998, -95.32353499999999 29.905932, -95.323465 29.902811999999997, -95.331176 29.902507, -95.33246199999999 29.9025, -95.332416 29.903516))",812.0,-85100.0,27.4,-9183.0,3.0,0.7077710563052583,0.009306654257794323,0.12284783620288506,0.0,0.7504145936981758,0.5185185185185185,0.49122807017543857,0.44805194805194803,0.4820846905537459,0.22556390977443608,0.21927374301675978,0.8631921824104235,0.027989821882951654,0.0,0.19972067039106145,0.410594315245478,0.5825965565379246,0.8854748603351955,-0.0,0.18546365914786966,0.21787709497206703,0.089058524173028,1.0511382445709978,-0.04908497669311643,-0.006011631109641301,0.058821296676256206,0.19753628388175548,1.2523992173262517,0.9100679458046215,10.0,0.9957963568425969,159.0,0.9262027090144792
