index,geometry,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QEDLESHI,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QHISPC,QMOHO,QNATIVE,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,F2: 1,F2: 2,F2: 3,F2: 4,F2: 5,FA_SVI_Unscaled,FA_SVI_Scaled,FA_SVI_Rank,FA_SVI_Percentile,RM_SVI_Rank,RM_SVI_Percentile
484530018192,"POLYGON ((-97.706227 30.367436, -97.705856 30.368025, -97.7055 30.369251, -97.700621 30.366977, -97.69599699999999 30.36487, -97.69695 30.363155, -97.70606699999999 30.367334, -97.706227 30.367436))",857.0,-645160.7096774194,18.4,-9338.0,3.51,0.6894639556377079,0.0,0.019408502772643253,0.0,0.7645875251509054,0.31319234642497484,0.36803874092009686,0.39572192513368987,0.5998151571164511,0.4600484261501211,0.24025974025974026,0.8530499075785583,0.0,0.0,0.24025974025974026,0.2538836076976582,0.4269870609981516,0.9707792207792207,-0.0,0.3898305084745763,0.08116883116883117,0.08875739644970414,1.4363041796494398,-0.3056814413053184,0.3745203460012636,-0.1142466707263951,0.20415583948646143,1.5950522531054512,1.0,1.0,1.0,59.0,0.8991304347826087
484530018224,"POLYGON ((-97.704419 30.370966, -97.703203 30.372112, -97.70196999999999 30.370648, -97.70052099999999 30.372164, -97.69852899999999 30.371961, -97.696298 30.370889, -97.696624 30.370214, -97.69943599999999 30.371399, -97.70039399999999 30.369544, -97.699754 30.368658, -97.700621 30.366977, -97.7055 30.369251, -97.704419 30.370966))",958.0,-842905.0337837838,27.3,-11891.0,3.44,0.7132867132867133,0.0,0.004079254079254079,0.05902383654937571,0.49897119341563784,0.3839479392624729,0.23642943305186973,0.5211864406779662,0.48892773892773894,0.3546441495778046,0.24248496993987975,0.8630536130536131,0.0,0.0,0.28256513026052105,0.37071349557522126,0.5262237762237763,0.9679358717434869,-0.0,0.4209891435464415,0.13026052104208416,0.04038461538461539,1.11319926875067,-0.2213996948083008,0.4692340008753625,0.0961800018844469,-0.006501891201157761,1.4507116855010207,0.9492970501641265,2.0,0.9982608695652174,62.0,0.8939130434782608
484530018332,"POLYGON ((-97.680712 30.369949, -97.67615499999999 30.377057, -97.67558299999999 30.376949, -97.66582299999999 30.372461, -97.66863099999999 30.368248, -97.668869 30.367422, -97.66851799999999 30.362912, -97.672985 30.362918, -97.68147499999999 30.366921, -97.680712 30.369949))",1033.0,-207000.0,61.7,-25061.0,1.77,1.0849571317225253,0.08417770849571317,0.254871395167576,0.14745308310991956,0.15246212121212122,0.03192338387869114,0.0,0.5247524752475248,0.6017147310989868,0.4528301886792453,0.07865168539325842,0.12392829306313329,0.0,0.0,0.09630818619582665,0.3148024855747892,0.24181818181818182,0.5634028892455859,-0.056179775280898875,0.11949685534591195,0.5762439807383628,0.0,-0.07292320582645698,0.17013266028980845,0.3131871889767774,0.7260199064540842,0.14895681611872272,1.2853733660129356,0.891218156211553,3.0,0.9965217391304347,79.0,0.8643478260869565
484530022022,"POLYGON ((-97.63793299999999 30.296088, -97.63517499999999 30.297352, -97.63421699999999 30.299129, -97.629727 30.301203, -97.62875099999999 30.301121, -97.62787499999999 30.298679, -97.62416999999999 30.299888, -97.622923 30.2993, -97.622838 30.29926, -97.62795199999999 30.29124, -97.635662 30.294978, -97.63793299999999 30.296088))",1298.0,-162900.0,19.5,-7581.0,5.12,0.7011589403973509,0.0,0.06374172185430464,0.1554959785522788,0.567287784679089,0.3542319749216301,0.5079365079365079,0.2288135593220339,0.49337748344370863,0.20634920634920634,0.2288135593220339,0.9072847682119205,0.08868501529051988,0.0,0.1440677966101695,0.32444832859951933,0.5372516556291391,0.7584745762711864,-0.0,0.0,0.0,0.2782874617737003,1.4283708560325854,-0.13721070768343951,0.06195634628603016,-0.10734905848616777,-0.014391812690766904,1.2313756234582414,0.8722502050842982,4.0,0.9947826086956522,18.0,0.9704347826086956
484530018122,"POLYGON ((-97.69514599999999 30.32858, -97.69224899999999 30.333155, -97.692381 30.335125, -97.693271 30.335828, -97.68638399999999 30.332617, -97.687826 30.33077, -97.68995099999999 30.329678, -97.693123 30.324856, -97.695162 30.325894, -97.69514599999999 30.32858))",1042.0,-182700.0,27.2,-12399.0,3.15,0.7039383090057836,0.00936381162214266,0.08895621041035527,0.03959208158368326,0.42626367899947887,0.36740506329113926,0.2485946283572767,0.296551724137931,0.5050950151473423,0.391630231105559,0.17857142857142858,0.7050399339025062,0.0,0.0,0.1602787456445993,0.26818507035535416,0.3714759535655058,0.9277003484320557,-0.0,0.3953778888194878,0.23170731707317074,0.08744038155802862,0.8739250963176104,-0.04854352674256736,0.2831938900626998,0.07092796241282716,0.00019782356075008178,1.17970124561132,0.854098389338688,5.0,0.9930434782608696,9.0,0.9860869565217392
484530022082,"POLYGON ((-97.65382699999999 30.291506, -97.64821999999999 30.300237, -97.64635699999999 30.299369, -97.64368899999999 30.29823, -97.64174 30.297766, -97.644498 30.296947, -97.64557599999999 30.29411, -97.648878 30.29169, -97.64944299999999 30.289028, -97.64963399999999 30.288658, -97.64869299999999 30.281082, -97.65317999999999 30.282769, -97.652749 30.284743, -97.65362399999999 30.285649, -97.65440699999999 30.28927, -97.65382699999999 30.291506))",937.0,-93447.93103448275,22.8,-12102.0,4.67,0.6668454935622318,0.0,0.04291845493562232,0.14285714285714285,0.5859030837004405,0.28197320341047505,0.1782178217821782,0.44,0.48497854077253216,0.3844884488448845,0.3659147869674185,0.9436695278969958,0.6190476190476191,0.0,0.0,0.27482340397174465,0.25912017167381973,0.2907268170426065,-0.0,0.3316831683168317,0.21052631578947367,0.0,1.2505762527342597,0.03782192512468303,-0.12300454737455584,-0.06790888528524736,0.052278514173500094,1.1497632593726395,0.843581981930572,6.0,0.991304347826087,47.0,0.92
484530024274,"POLYGON ((-97.7628 30.187786, -97.75733099999999 30.185759, -97.75657299999999 30.185177, -97.756997 30.184681, -97.75981899999999 30.180032, -97.762489 30.180691, -97.766159 30.182566, -97.7628 30.187786))",1181.0,-86000.0,31.0,-14033.0,3.39,0.7097345132743362,0.0,0.016371681415929203,0.05537459283387622,0.464818763326226,0.17001003009027083,0.21379310344827587,0.1729106628242075,0.522566371681416,0.2850574712643678,0.11394302848575712,0.9030973451327433,0.5172413793103449,0.0,0.25337331334332835,0.27231652216387836,0.24778761061946902,0.39430284857571213,-0.0,0.39655172413793105,0.18140929535232383,0.0,0.8950502395244968,0.04211725476478717,0.1001948821752463,0.09872362986114026,0.010707143110063606,1.1467931494357342,0.8425386623868202,7.0,0.9895652173913043,37.0,0.9373913043478261
484530004022,"POLYGON ((-97.71544299999999 30.284889, -97.70631299999999 30.286265, -97.70394499999999 30.282572, -97.70849699999999 30.281826, -97.714288 30.280957, -97.715053 30.282903, -97.71544299999999 30.284889))",939.0,-317000.0,34.5,-21043.0,2.8,1.0668044077134986,0.0,0.4318181818181818,0.010752688172043012,0.15079365079365079,0.037985136251032205,0.027950310559006212,0.7258064516129032,0.7024793388429752,0.6925465838509317,0.275626423690205,0.10881542699724518,0.010224948875255624,0.0,0.09111617312072894,0.1590909090909091,0.22339561332250202,0.5170842824601367,-0.04555808656036447,0.30434782608695654,0.2619589977220957,0.10224948875255624,0.15118955729273018,0.06620833159298452,0.16705798666202584,0.18172150161536024,0.5409117300224374,1.1070891071855382,0.8285917028043271,8.0,0.9878260869565217,48.0,0.9182608695652174
484530024112,"POLYGON ((-97.76164899999999 30.201682, -97.758624 30.205369, -97.75834999999999 30.205699, -97.75320000000001 30.202773, -97.751525 30.201541, -97.753186 30.19601, -97.752437 30.193584, -97.756299 30.193701, -97.75972399999999 30.196394, -97.758574 30.197266, -97.758324 30.19782, -97.759215 30.200178, -97.76164899999999 30.201682))",1067.0,-57800.0,25.6,-14744.0,3.78,0.6849529780564263,0.0,0.015282131661442006,0.054133858267716536,0.4623000761614623,0.3026431718061674,0.4339229968782518,0.39549180327868855,0.5270376175548589,0.3017689906347555,0.1748148148148148,0.9177115987460815,0.3985185185185185,0.0,0.02666666666666667,0.3398631423587817,0.33738244514106586,0.4533333333333333,-0.0,0.16545265348595214,0.1748148148148148,0.0,1.1778129231433294,-0.012103645940682308,-0.045831840907554926,-0.021888232774100243,-0.010366010962019568,1.0876231925589723,0.8217538518162043,9.0,0.9860869565217392,53.0,0.9095652173913044
484530023121,"POLYGON ((-97.70339199999999 30.22499, -97.69731499999999 30.234587, -97.692685 30.241739, -97.691081 30.243934, -97.690668 30.242822, -97.68832499999999 30.239734, -97.68955899999999 30.238853, -97.69067099999999 30.238059, -97.698899 30.227059, -97.70077599999999 30.224494, -97.701179 30.223971, -97.702895 30.224696, -97.70346699999999 30.224872, -97.70339199999999 30.22499))",896.0,-153000.0,44.7,-19335.0,2.51,0.7642585551330798,0.0,0.22813688212927757,0.14147286821705427,0.3380681818181818,0.08747993579454254,0.0,0.7070063694267515,0.49277566539923956,0.7291196388261851,0.21497120921305182,0.6326996197718631,0.0462046204620462,0.0,0.22456813819577734,0.18430197723187539,0.3455098934550989,0.4952015355086372,-0.053742802303262956,0.24830699774266365,0.418426103646833,0.14026402640264027,0.325999152777519,0.12383236337475108,0.20113111105581497,0.28585734459675494,0.12887837255092027,1.0656983443557602,0.8140522437578717,10.0,0.9843478260869565,2.0,0.9982608695652174
