index,key_0,geometry,MDGRENT,MDHSEVAL,MEDAGE,PERCAP,PPUNIT,QAGEDEP,QASIAN,QBLACK,QCVLUN,QEDLESHI,QESL,QEXTRCT,QFAM,QFEMALE,QFEMLBR,QFHH,QHISPC,QMOHO,QNATIVE,QNOAUTO,QNOHLTH,QPOVTY,QRENTER,QRICH,QSERV,QSSBEN,QUNOCCHU,F1: 1,F1: 2,F1: 3,F1: 4,F1: 5,F1: 6,FA_SVI_Unscaled,FA_SVI_Scaled,FA_SVI_Rank,FA_SVI_Percentile,RM_SVI_Rank,RM_SVI_Percentile
484530022022,484530022022,"POLYGON ((-97.63793299999999 30.296087999999997, -97.63517499999999 30.297352, -97.63421699999999 30.299128999999997, -97.629727 30.301202999999997, -97.628751 30.301121, -97.62787499999999 30.298679, -97.62416999999999 30.299888, -97.622923 30.299300000000002, -97.622838 30.29926, -97.627952 30.29124, -97.635662 30.294977999999997, -97.63793299999999 30.296087999999997))",954.0,-0.0,27.1,-8078.0,4.13,0.7411032028469751,0.0,0.03469750889679715,0.06439393939393939,0.6402349486049926,0.420158550396376,0.1902834008097166,0.4090909090909091,0.5008896797153025,0.45951417004048584,0.23161764705882354,0.9537366548042705,0.111358574610245,0.0,0.20220588235294118,0.3833019312293924,0.44395017793594305,0.7205882352941176,-0.0,0.3481781376518219,0.07352941176470588,0.39420935412026725,1.0848863320545503,0.006239226569477962,0.004884655286743149,-0.0006518978374048567,0.075245147252727,0.09744330249635604,1.2680467658224497,1.0,1.0,1.0,3.0,0.9965277777777778
484530021061,484530021061,"POLYGON ((-97.69159599999999 30.315648999999997, -97.68612399999999 30.313056, -97.68463299999999 30.312334999999997, -97.686399 30.308795999999997, -97.685518 30.306570999999998, -97.688841 30.308037, -97.690041 30.30785, -97.69074099999999 30.310442, -97.693828 30.311847999999998, -97.69159599999999 30.315648999999997))",628.0,-240700.0,27.9,-17511.0,2.37,1.0336633663366337,0.0,0.0702970297029703,0.07222222222222222,0.3453689167974882,0.1191969887076537,0.0,0.3048780487804878,0.6861386138613862,0.4431137724550898,0.16159250585480095,0.6287128712871287,0.0,0.02574257425742574,0.2693208430913349,0.18963799402191964,0.3920792079207921,0.6814988290398126,-0.0,0.0,0.32084309133489464,0.04899777282850779,0.500330064585569,0.035489221655138584,0.1421794333678828,-0.10797903351236274,0.2352263388934914,0.41241566792734413,1.2176616929170632,0.9789296753859604,2.0,0.9982638888888888,107.0,0.8159722222222222
484530018192,484530018192,"POLYGON ((-97.706227 30.367435999999998, -97.705856 30.368025, -97.7055 30.369251, -97.700621 30.366977, -97.69599699999999 30.36487, -97.69695 30.363155, -97.70606699999999 30.367334, -97.706227 30.367435999999998))",811.0,-137822.7629310345,25.8,-8392.0,4.13,0.593993993993994,0.0,0.06786786786786787,0.031818181818181815,0.7083811710677382,0.44931506849315067,0.3223787167449139,0.49034749034749037,0.46066066066066064,0.30359937402190923,0.22580645161290322,0.9057057057057057,0.0,0.0,0.11910669975186104,0.33348264277715567,0.6546546546546547,0.9627791563275434,-0.0,0.48982785602503914,0.07692307692307693,0.03818615751789976,1.1688754518457949,-0.0908626311241126,-0.06468240913673406,-0.00524026999275028,0.15832210428095,-0.02978965967613469,1.1366225861970132,0.9450402675403143,3.0,0.9965277777777778,89.0,0.8472222222222222
484530008011,484530008011,"POLYGON ((-97.70904 30.265386999999997, -97.70482899999999 30.272419, -97.697907 30.273556, -97.69670599999999 30.269557, -97.696272 30.268100999999998, -97.694586 30.262515999999998, -97.69814099999999 30.261536, -97.698712 30.260665, -97.71027 30.264774, -97.70904 30.265386999999997))",797.0,-207300.0,45.7,-19254.0,2.58,0.8833943833943834,0.0,0.11294261294261294,0.09350649350649351,0.3536,0.11932555123216602,0.10888252148997135,0.40540540540540543,0.5421245421245421,0.504297994269341,0.10396039603960396,0.6434676434676435,0.034108527131782945,0.0,0.18811881188118812,0.19068877551020408,0.1868622448979592,0.45874587458745875,-0.0,0.2507163323782235,0.42574257425742573,0.06046511627906977,0.4236760435483998,0.09981348811760504,0.3444961481035177,-0.03944377468894554,0.1578896324136466,0.12014210101655469,1.1065736385107783,0.9324742227665344,4.0,0.9947916666666666,15.0,0.9756944444444444
484530018122,484530018122,"POLYGON ((-97.695146 30.32858, -97.69224899999999 30.333154999999998, -97.692381 30.335124999999998, -97.693271 30.335828, -97.68638399999999 30.332617, -97.687826 30.330769999999998, -97.689951 30.329677999999998, -97.693123 30.324855999999997, -97.695162 30.325893999999998, -97.695146 30.32858))",839.0,-155996.0701107011,27.2,-11324.0,3.32,0.6178489702517163,0.0,0.0928044749555047,0.13540051679586562,0.5801999048072346,0.481820869051138,0.44590555887627015,0.3756345177664975,0.4614797864225782,0.21697549312612074,0.20321761219305673,0.8113399440630562,0.0,0.0,0.09652836579170194,0.4115599751398384,0.4032669729453803,0.9712108382726503,-0.0,0.3484757919904363,0.14563928873835733,0.06418383518225039,1.056154979567953,-0.03168525938838576,0.01081258996255795,-0.07603588863402516,0.19352749911707248,-0.08364007656049782,1.0691338440646747,0.916817430447435,5.0,0.9930555555555556,54.0,0.9079861111111112
484530023122,484530023122,"POLYGON ((-97.70077599999999 30.224494, -97.698899 30.227058999999997, -97.690671 30.238059, -97.68955899999999 30.238853, -97.689742 30.237880999999998, -97.690406 30.234371, -97.691338 30.233297, -97.692021 30.232222999999998, -97.688925 30.230891999999997, -97.689528 30.228566999999998, -97.696809 30.222029, -97.698334 30.222709, -97.701179 30.223971, -97.70077599999999 30.224494))",989.0,-45600.0,29.6,-11186.0,3.6,0.6788421778084079,0.0,0.01826326671261199,0.17716535433070865,0.6923076923076923,0.2833863275039746,0.184688995215311,0.2004950495049505,0.48001378359751895,0.41626794258373206,0.16149068322981366,0.9421088904203997,0.3174250832408435,0.0,0.05341614906832298,0.3895341075957816,0.39736019451198334,0.38509316770186336,-0.0,0.3186602870813397,0.16645962732919253,0.10654827968923418,0.9762372880087921,0.05411085234823825,0.04501604850420687,-0.054682158281407364,0.015287437182040066,0.026407387737379186,1.062376855499249,0.9139917534308666,6.0,0.9913194444444444,21.0,0.9652777777777778
484530018332,484530018332,"POLYGON ((-97.680712 30.369949, -97.676155 30.377056999999997, -97.67558299999999 30.376949, -97.66582299999999 30.372460999999998, -97.66863099999999 30.368247999999998, -97.668869 30.367421999999998, -97.66851799999999 30.362911999999998, -97.672985 30.362917999999997, -97.68147499999999 30.366920999999998, -97.680712 30.369949))",897.0,-170700.0,62.0,-32388.0,1.91,0.9925871015567087,0.14158636026686433,0.1223128243143069,0.12012987012987013,0.12864493996569468,0.04607250755287009,0.02952029520295203,0.6031746031746031,0.541882876204596,0.41697416974169743,0.07730263157894737,0.1178650852483321,0.0,0.0,0.13322368421052633,0.31296816479400746,0.16637931034482759,0.5,-0.06085526315789474,0.1014760147601476,0.5509868421052632,0.0,-0.010493516221142439,0.14164480479745578,0.6068965522919609,-0.014317213132717591,0.20908784369390293,0.06146031885517238,0.994278790284632,0.8855141060460076,7.0,0.9895833333333334,135.0,0.7673611111111112
484530023141,484530023141,"POLYGON ((-97.72777599999999 30.227462, -97.724406 30.232833, -97.72350899999999 30.233663999999997, -97.72257499999999 30.233915999999997, -97.721097 30.232906999999997, -97.723396 30.230241999999997, -97.72515899999999 30.229418, -97.72670199999999 30.227463, -97.72713 30.227190999999998, -97.72777599999999 30.227462))",938.0,-147668.58474576272,29.5,-11737.0,2.15,0.7504132231404959,0.0,0.23471074380165288,0.026252983293556086,0.39675174013921116,0.3474264705882353,0.125,1.0,0.5553719008264463,0.6666666666666666,0.2553191489361702,0.7057851239669422,0.0,0.0,0.0,0.35125153877718507,0.28760330578512394,0.9397163120567376,-0.0,0.4583333333333333,0.0,0.0784313725490196,0.4036457858607623,0.029099834432218665,0.027597119019742856,0.16178152186806216,0.23719050062517125,0.12353292776919135,0.9828476895751486,0.8807337814626359,8.0,0.9878472222222222,37.0,0.9375
484530018064,484530018064,"POLYGON ((-97.709153 30.35081, -97.705638 30.353351, -97.701263 30.356569999999998, -97.69877199999999 30.353520999999997, -97.702046 30.349591999999998, -97.70318999999999 30.34755, -97.706796 30.349249999999998, -97.709153 30.35081))",0.0,-122325.3101604278,16.5,-4563.0,3.63,0.6253869969040248,0.0,0.3544891640866873,0.0,0.3408239700374532,0.06220095693779904,0.0,1.0,0.5789473684210527,1.0,0.7303370786516854,0.5712074303405573,0.20851063829787234,0.0,0.6404494382022472,0.37340919299296305,0.9195046439628483,0.8932584269662921,-0.0,0.4369747899159664,0.2247191011235955,0.2425531914893617,-0.03992615089443291,-0.24435727738520385,-0.18545293919387806,0.9238204458799703,0.24746708743308032,0.27810641301616146,0.9796575788556972,0.8793997222951561,9.0,0.9861111111111112,7.0,0.9895833333333334
484530022082,484530022082,"POLYGON ((-97.65382699999999 30.291506, -97.64822 30.300237, -97.646357 30.299369, -97.643689 30.29823, -97.64174 30.297766, -97.644498 30.296947, -97.64557599999999 30.29411, -97.648878 30.29169, -97.64944299999999 30.289028, -97.64963399999999 30.288657999999998, -97.648693 30.281081999999998, -97.65317999999999 30.282769, -97.652749 30.284743, -97.653624 30.285649, -97.65440699999999 30.28927, -97.65382699999999 30.291506))",885.0,-9999.0,22.2,-8855.0,4.76,0.7064406779661017,0.0,0.06033898305084746,0.08609271523178808,0.5710144927536231,0.40337552742616034,0.21497584541062803,0.33948339483394835,0.44,0.2995169082125604,0.2967741935483871,0.9240677966101695,0.7165109034267912,0.0,0.0,0.3644245927482922,0.48745762711864404,0.5838709677419355,-0.0,0.28502415458937197,0.2129032258064516,0.03426791277258567,1.0416662568424835,0.004249293777734428,-0.03812900481814183,0.06532036381765141,-0.08891743398140915,-0.00989492843559755,0.9742945472027209,0.8771569783369252,10.0,0.984375,52.0,0.9114583333333334
